MEET,      NAME,                     Country,          FX,     PH,     SR,     VT,     PB,     HB,     AA
"eur_aaF", "Marios Georgiou",        "Cyprus ",        13.533, 14.266, 13.233, 14.100, 14.633, 14.500, 84.265
"eur_aaF", "Oleg Verniaiev",         "Ukraine ",       13.733, 15.166, 14.033, 14.666, 14.200, 12.233, 84.031
"eur_aaF", "Yumin Abbadini",         "Italy ",         14.066, 14.233, 13.700, 14.000, 13.433, 14.333, 83.765
"eur_aaF", "Jake Jarman",            "Great Britain ", 14.533, 13.866, 13.133, 14.933, 13.400, 13.566, 83.431
"eur_aaF", "Krisztofer Meszaros",    "Hungary ",       14.333, 13.500, 13.366, 13.966, 14.233, 14.000, 83.398
"eur_aaF", "Illia Kovtun",           "Ukraine ",       11.966, 13.700, 13.466, 14.333, 15.266, 14.600, 83.331
"eur_aaF", "Nestor Abad",            "Spain ",         13.733, 13.366, 13.800, 14.300, 14.166, 13.433, 82.798
"eur_aaF", "Artem Dolgopyat",        "Israel ",        15.200, 12.600, 13.033, 14.433, 13.566, 13.600, 82.432
"eur_aaF", "Adem Asil",              "Türkiye ",       14.066, 11.966, 14.933, 15.133, 12.900, 13.333, 82.331
"eur_aaF", "Ilias Georgiou",         "Cyprus ",        13.600, 12.500, 13.500, 14.433, 14.200, 13.833, 82.066
"eur_aaF", "Joel Plata",             "Spain ",         14.100, 12.366, 13.333, 13.433, 14.233, 14.466, 81.931
"eur_aaF", "Courtney Tulloch",       "Great Britain ", 13.800, 12.366, 14.700, 14.700, 13.700, 12.566, 81.832
"eur_aaF", "Matteo Giubellini",      "Switzerland ",   13.766, 14.600, 13.400, 13.900, 12.433, 13.666, 81.765
"eur_aaF", "Elias Koski",            "Finland ",       13.733, 13.800, 13.066, 14.000, 13.366, 13.633, 81.598
"eur_aaF", "Casimir Schmidt",        "Netherlands ",   12.900, 13.700, 13.500, 14.500, 13.500, 13.233, 81.333
"eur_aaF", "Oskar Kirmes",           "Finland ",       13.766, 13.766, 13.200, 13.800, 13.400, 13.300, 81.232
"eur_aaF", "Sofus Heggemsnes",       "Norway ",        13.333, 13.000, 13.266, 14.300, 13.566, 13.400, 80.865
"eur_aaF", "Pascal Brendel",         "Germany ",       13.800, 12.966, 12.400, 13.933, 13.700, 13.900, 80.699
"eur_aaF", "Nils Dunkel",            "Germany ",       13.233, 12.566, 13.366, 13.900, 14.266, 13.100, 80.431
"eur_aaF", "Krisztian Balazs",       "Hungary ",       12.966, 12.733, 13.066, 13.600, 14.100, 13.900, 80.365
"eur_aaF", "Adam Steele",            "Ireland ",       13.700, 13.600, 12.300, 14.433, 13.266, 13.033, 80.332
"eur_aaF", "Robert Kirmes",          "Finland ",       13.766, 11.800, 13.500, 13.866, 13.833, 13.466, 80.231
"eur_aaF", "Léo Saladino",           "France ",        14.100, 13.233, 13.633, 14.400, 13.300, 11.433, 80.099
"eur_aaF", "Uri Zeidel",             "Israel ",        13.366, 13.400, 13.566, 13.900, 13.333, 12.366, 79.931
"eur_aaF", "Lorenzo Casali",         "Italy ",         12.900, 13.066, 13.666, 13.200, 14.033, 12.666, 79.531
"eur_aaF", "Levan Skhiladze",        "Georgia ",       12.600, 14.266, 13.400, 12.933, 13.533, 12.766, 79.498
"eur_aaF", "David Rumbutis",         "Sweden ",        13.533, 11.400, 13.366, 13.533, 14.133, 13.500, 79.465
"eur_aaF", "Jim Zona",               "France ",        14.066, 11.600, 13.100, 13.533, 13.700, 13.133, 79.132
"eur_aaF", "Gagik Khachikyan",       "Armenia ",       13.366, 14.600, 12.466, 13.700, 12.633, 12.366, 79.131
"eur_aaF", "Gytis Chasazyrovas",     "Lithuania ",     13.900, 13.733, 12.766, 13.000, 12.900, 12.800, 79.099
"eur_aaF", "Antonios Tantalidis",    "Greece ",        13.266, 13.666, 12.433, 14.300, 13.000, 12.033, 78.698
"eur_aaF", "Luka van den Keybus",    "Belgium ",       13.600, 12.266, 12.900, 12.866, 14.200, 12.833, 78.665
"eur_aaF", "Valgard Reinhardsson",   "Iceland ",       13.466, 12.400, 12.566, 13.933, 13.066, 12.866, 78.297
"eur_aaF", "Christian Baumann",      "Switzerland ",   12.900, 12.133, 13.400, 13.200, 14.000, 12.366, 77.999
"eur_aaF", "Jermain Grünberg",       "Netherlands ",   11.966, 12.500, 12.933, 13.833, 14.066, 12.700, 77.998
"eur_aaF", "Erik Baghdasaryan",      "Armenia ",       12.533, 12.500, 13.166, 14.000, 12.666, 12.800, 77.665
"eur_aaF", "Guilherme Campos",       "Portugal ",      13.766, 12.133, 12.900, 13.800, 12.766, 12.066, 77.431
"eur_aaF", "Ilia Liubimov",          "Israel ",        13.233, 14.266, 12.600, 13.800, 13.133, 10.366, 77.398
"eur_aaF", "Sebastian Gawronski",    "Poland ",        14.033, 10.833, 12.900, 13.900, 13.033, 12.666, 77.365
"eur_aaF", "Harald Wibye",           "Norway ",        12.600, 12.633, 12.800, 12.733, 13.100, 13.266, 77.132
"eur_aaF", "Botond Molnar",          "Hungary ",       13.633, 11.633, 13.166, 13.100, 12.600, 12.933, 77.065
"eur_aaF", "Kacper Garnczarek",      "Poland ",        13.300, 12.366, 12.133, 13.966, 12.033, 13.166, 76.964
"eur_aaF", "Askhab Matiev",          "Austria ",       13.700, 12.466, 11.633, 13.466, 13.000, 12.666, 76.931
"eur_aaF", "Daniel Radovesnicky",    "Czechia ",       12.866, 12.333, 12.500, 13.366, 13.166, 12.700, 76.931
"eur_aaF", "Petar Vefic",            "Serbia ",        13.300, 11.466, 12.700, 13.800, 12.300, 13.066, 76.631
"eur_aaF", "Marcus Stenberg",        "Sweden ",        12.633, 11.533, 13.066, 13.400, 12.733, 13.266, 76.631
"eur_aaF", "Ricardo Rudy",           "Austria ",       13.400, 12.233, 12.466, 13.800, 12.633, 11.966, 76.498
"eur_aaF", "Dagur Olafsson",         "Iceland ",       12.500, 13.966, 12.066, 13.866, 13.366, 10.700, 76.464
"eur_aaF", "Nicolas Ivkic",          "Austria ",       12.833, 12.900, 12.466, 14.433, 12.233, 11.566, 76.431
"eur_aaF", "Benedek Tomcsanyi",      "Hungary ",       13.433, 10.966, 13.266, 13.733, 11.766, 13.000, 76.164
"eur_aaF", "Ivan TIkhonov",          "Azerbaijan ",    13.433, 13.866, 13.133, 13.100, 9.266,  13.333, 76.131
"eur_aaF", "Joe Fraser",             "Great Britain ", 12.500, 10.000, 13.566, 13.900, 12.266, 13.866, 76.098
"eur_aaF", "Bozhidar Zlatanov",      "Bulgaria ",      13.000, 11.733, 13.166, 12.766, 12.700, 12.733, 76.098
"eur_aaF", "Kevin Penev",            "Bulgaria ",      13.900, 13.166, 11.900, 13.100, 11.066, 12.766, 75.898
"eur_aaF", "Oliver Kasala",          "Slovakia ",      12.766, 12.800, 10.866, 13.000, 13.433, 12.866, 75.731
"eur_aaF", "Michalis Chari",         "Cyprus ",        13.900, 10.933, 12.733, 13.800, 12.900, 11.333, 75.599
"eur_aaF", "Kevin Buckley",          "Slovenia ",      11.300, 13.100, 12.666, 13.400, 11.966, 13.133, 75.565
"eur_aaF", "Daniel Fox",             "Ireland ",       13.300, 12.333, 13.166, 12.266, 11.933, 12.466, 75.464
"eur_aaF", "Nicholas Tarca",         "Romania ",       13.600, 12.400, 11.400, 14.266, 12.366, 11.000, 75.032
"eur_aaF", "Volodymyr Otreshko",     "Slovakia ",      12.100, 13.033, 11.866, 13.200, 13.033, 11.733, 74.965
"eur_aaF", "Tomas Kuzmickas",        "Lithuania ",     11.400, 12.733, 11.466, 12.900, 13.466, 12.966, 74.931
"eur_aaF", "Alkinoos Graikos",       "Greece ",        11.900, 13.000, 11.866, 13.466, 11.433, 12.400, 74.065
"eur_aaF", "Razvan-Denis Marc",      "Romania ",       11.900, 12.766, 11.800, 12.833, 12.566, 12.166, 74.031
"eur_aaF", "Daniel Bago",            "Czechia ",       13.266, 10.666, 12.300, 13.666, 11.100, 12.866, 73.864
"eur_aaF", "Peder Skogvang",         "Norway ",        13.033, 10.900, 12.900, 14.133, 10.933, 11.833, 73.732
"eur_aaF", "Jose Nogueira",          "Portugal ",      11.000, 12.500, 12.133, 13.466, 12.300, 11.733, 73.132
"eur_aaF", "Dominick Cunningham",    "Ireland ",       13.866, 10.500, 11.566, 14.600, 10.733, 11.500, 72.765
"eur_aaF", "Victor Martinez",        "Belgium ",       13.433, 10.333, 10.233, 14.566, 11.666, 12.066, 72.297
"eur_aaF", "Bernardo Almeida",       "Portugal ",      12.166, 10.533, 12.433, 12.800, 11.700, 12.600, 72.232
"eur_aaF", "Martin Gudmundsson",     "Iceland ",       12.000, 9.100,  12.400, 13.600, 12.066, 12.833, 71.999
"eur_aaF", "Rasul Ahmadzada",        "Azerbaijan ",    12.333, 11.966, 11.566, 13.133, 10.933, 11.366, 71.297
"eur_aaF", "Joakim Lenberg",         "Sweden ",        11.700, 11.433, 11.000, 12.866, 11.100, 12.433, 70.532
"eur_aaF", "Daniel Trifonov",        "Bulgaria ",      13.266, 9.766,  11.366, 13.100, 11.600, 11.266, 70.364
"eur_aaF", "Nicolau Mir",            "Spain ",         14.233, NA,     13.266, 13.700, 14.266, 13.500, 68.965
"eur_aaF", "Nazar Chepurnyi",        "Ukraine ",       13.566, 12.900, NA,     14.800, 14.700, 12.600, 68.566
"eur_aaF", "Emre Dodanli",           "Türkiye ",       13.733, 11.900, NA,     14.300, 13.900, 14.033, 67.866
"eur_aaF", "Thierno Diallo",         "Spain ",         11.766, 13.800, 12.966, 14.066, 14.500, NA,     67.098
"eur_aaF", "Matteo Levantesi",       "Italy ",         12.100, 12.900, 13.600, NA,     14.200, 13.866, 66.666
"eur_aaF", "Axel Breche",            "France ",        12.666, 13.733, 12.600, 14.166, NA,     13.266, 66.431
"eur_aaF", "Radomyr Stelmakh",       "Ukraine ",       13.100, 14.166, 13.033, NA,     13.466, 12.633, 66.398
"eur_aaF", "Apostolos Kanellos",     "Greece ",        12.266, 13.100, NA,     13.000, 13.100, 13.400, 64.866
"eur_aaF", "Amine Abaidi",           "Netherlands ",   12.433, 12.966, NA,     14.433, 13.000, 12.900, 65.732
"eur_aaF", "Alexis Blin",            "France ",        12.266, 13.200, NA,     13.800, 13.200, 13.266, 65.732
"eur_aaF", "Georgios Angonas",       "Cyprus ",        12.666, 11.966, NA,     13.966, 13.733, 11.966, 64.297
"eur_aaF", "Martin Pospisil",        "Czechia ",       12.466, NA,     12.500, 13.633, 12.700, 12.900, 64.199
"eur_aaF", "Mert Efe Kilicer",       "Türkiye ",       12.500, 12.700, NA,     13.733, 12.933, 12.200, 64.066
"eur_aaF", "Murad Agharzayev",       "Azerbaijan ",    12.766, 12.133, 12.366, 13.633, 11.466, NA,     62.364
"eur_aaF", "Akseli Karsikas",        "Finland ",       13.533, 9.266,  13.266, NA,     10.533, 14.133, 60.731
"eur_aaF", "Miroslav Durak",         "Czechia ",       11.666, 10.866, 12.333, 12.800, 12.200, NA,     59.865
"eur_aaF", "Mario Macchiati",        "Italy ",         NA,     13.933, NA,     14.400, 14.500, 13.600, 56.433
"eur_aaF", "Noe Seifert",            "Switzerland ",   NA,     14.166, 13.133, NA,     14.733, 14.166, 56.198
"eur_aaF", "James Hall",             "Great Britain ", 13.800, 13.900, NA,     NA,     14.333, 12.966, 54.999
"eur_aaF", "Kerem Sener",            "Türkiye ",       NA,     NA,     13.466, 14.300, 13.866, 13.066, 54.698
"eur_aaF", "Taha Serhani",           "Switzerland ",   13.266, NA,     NA,     14.233, 13.066, 14.033, 54.598
"eur_aaF", "Pavel Gulidov",          "Israel ",        13.000, NA,     13.433, 14.200, 13.500, NA,     54.133
"eur_aaF", "Carlo Hörr",             "Germany ",       13.133, NA,     13.400, NA,     13.800, 13.366, 53.699
"eur_aaF", "Andreas Toba",           "Germany ",       NA,     12.600, 13.833, NA,     13.466, 13.733, 53.632
"eur_aaF", "Rick Jacobs",            "Netherlands ",   12.533, NA,     13.233, 14.266, NA,     13.366, 53.398
"eur_aaF", "Nikolaos Iliopoulos",    "Greece ",        NA,     NA,     12.766, 13.566, 13.533, 13.533, 53.398
"eur_aaF", "Noah Kuavita",           "Belgium ",       13.666, 12.700, NA,     NA,     14.200, 12.200, 52.766
"eur_aaF", "Yordan Aleksandrov",     "Bulgaria ",      NA,     12.033, 12.966, NA,     13.766, 13.266, 52.031
"eur_aaF", "Agust Davidsson",        "Iceland ",       13.566, NA,     12.633, NA,     12.766, 10.866, 49.831
"eur_aaF", "Joar Amblie",            "Norway ",        NA,     10.633, NA,     14.100, 11.866, 12.300, 48.899
"eur_aaF", "Glen Cuyle",             "Belgium ",       3.333,  NA,     14.500, 14.133, 13.500, NA,     45.466
"eur_aaF", "Unai Baigorri",          "Spain ",         14.166, 13.733, NA,     13.933, NA,     NA,     41.832
"eur_aaF", "Luca Giubellini",        "Switzerland ",   13.166, 13.900, NA,     14.600, NA,     NA,     41.666
"eur_aaF", "Luke Whitehouse",        "Great Britain ", 14.766, NA,     NA,     14.400, 11.866, NA,     41.032
"eur_aaF", "Marco Lodadio",          "Italy ",         12.666, NA,     14.600, 13.400, NA,     NA,     40.666
"eur_aaF", "Mehmet Ayberk Kosak",    "Türkiye ",       13.433, 12.466, 14.466, NA,     NA,     NA,     40.365
"eur_aaF", "Milan Hosseini",         "Germany ",       13.900, 11.600, NA,     14.433, NA,     NA,     39.933
"eur_aaF", "Neofytos Kyriakou",      "Cyprus ",        13.566, NA,     NA,     14.200, NA,     12.000, 39.766
"eur_aaF", "Filip Lidbeck",          "Sweden ",        13.466, NA,     NA,     13.933, 12.266, NA,     39.665
"eur_aaF", "Loran de Munck",         "Netherlands ",   NA,     15.000, 13.033, NA,     11.566, NA,     39.599
"eur_aaF", "Gabriel Eichhorn",       "Germany ",       13.366, NA,     NA,     NA,     12.400, 13.733, 39.499
"eur_aaF", "Marcelo Marques",        "Portugal ",      12.400, 13.500, NA,     12.866, NA,     NA,     38.766
"eur_aaF", "Emilian Neagu",          "Romania ",       12.933, NA,     12.133, 13.500, NA,     NA,     38.566
"eur_aaF", "Maxime Gentges",         "Belgium ",       NA,     12.800, 13.000, NA,     NA,     12.466, 38.266
"eur_aaF", "Paul Schmölzer",         "Austria ",       NA,     12.333, NA,     14.133, NA,     11.366, 37.832
"eur_aaF", "Szilard Zavory",         "Hungary ",       NA,     NA,     12.866, 12.900, NA,     11.966, 37.732
"eur_aaF", "Luis Il-Sung Melander",  "Sweden ",        NA,     11.533, 13.566, NA,     NA,     12.300, 37.399
"eur_aaF", "Saba Abesadze",          "Georgia ",       NA,     13.166, 12.133, NA,     11.333, NA,     36.632
"eur_aaF", "Mansum Safarov",         "Azerbaijan ",    12.933, NA,     NA,     13.333, NA,     10.200, 36.466
"eur_aaF", "David Bickel",           "Austria ",       11.600, NA,     12.333, NA,     12.333, NA,     36.266
"eur_aaF", "Igor Radivilov",         "Ukraine ",       NA,     NA,     14.433, 14.833, NA,     NA,     29.266
"eur_aaF", "Harry Hepworth",         "Great Britain ", NA,     NA,     14.400, 14.633, NA,     NA,     29.033
"eur_aaF", "Robert Tvorogal",        "Lithuania ",     NA,     NA,     NA,     NA,     13.733, 14.533, 28.266
"eur_aaF", "Cameron-Lie Bernard",    "France ",        NA,     NA,     13.133, NA,     14.666, NA,     27.799
"eur_aaF", "Alexander Myakinin",     "Israel ",        NA,     13.333, NA,     NA,     NA,     14.333, 27.666
"eur_aaF", "Niklas Syverhuset",      "Norway ",        13.766, NA,     13.333, NA,     NA,     NA,     27.099
"eur_aaF", "Martijn de Veer",        "Netherlands ",   13.333, NA,     NA,     NA,     NA,     13.600, 26.933
"eur_aaF", "Ricards Plate",          "Latvia ",        13.066, NA,     NA,     13.266, NA,     NA,     26.332
"eur_aaF", "Luca Murabito",          "Switzerland ",   13.500, NA,     NA,     13.033, NA,     NA,     26.533
"eur_aaF", "Aurel Benovic",          "Croatia ",       13.800, NA,     NA,     12.600, NA,     NA,     26.400
"eur_aaF", "Daniel Carrion",         "Spain ",         NA,     13.100, NA,     NA,     NA,     12.600, 25.700
"eur_aaF", "Dimitar Dimitrov",       "Bulgaria ",      12.700, NA,     NA,     12.866, NA,     NA,     25.566
"eur_aaF", "Toma Modoianu-Zseder",   "Romania ",       NA,     11.700, 13.400, NA,     NA,     NA,     25.100
"eur_aaF", "Luis Lechaud",           "Portugal ",      NA,     NA,     12.266, NA,     12.466, NA,     24.732
"eur_aaF", "Atli Valgeirsson",       "Iceland ",       NA,     11.033, NA,     13.400, NA,     NA,     24.433
"eur_aaF", "Ioane Jimsheleishvili",  "Georgia ",       12.400, NA,     NA,     NA,     NA,     12.000, 24.400
"eur_aaF", "Nicolae Bera",           "Romania ",       10.600, NA,     NA,     NA,     NA,     12.366, 22.966
"eur_aaF", "Nicola Cuyle",           "Belgium ",       NA,     10.833, NA,     NA,     11.433, NA,     22.266
"eur_aaF", "Liam Rabic",             "Croatia ",       NA,     14.100, NA,     NA,     NA,     7.100,  21.200
"eur_aaF", "Rhys McClenaghan",       "Ireland ",       NA,     15.133, NA,     NA,     NA,     NA,     15.133
"eur_aaF", "Artur Davtyan",          "Armenia ",       NA,     NA,     NA,     15.100, NA,     NA,     15.100
"eur_aaF", "Eleftherios Petrounias", "Greece ",        NA,     NA,     14.966, NA,     NA,     NA,     14.966
"eur_aaF", "Vinzenz Höck",           "Austria ",       NA,     NA,     14.900, NA,     NA,     NA,     14.900
"eur_aaF", "Filip Ude",              "Croatia ",       NA,     14.766, NA,     NA,     NA,     NA,     14.766
"eur_aaF", "Salvatore Maresca",      "Italy ",         NA,     NA,     14.766, NA,     NA,     NA,     14.766
"eur_aaF", "Ibrahim Colak",          "Türkiye ",       NA,     NA,     14.666, NA,     NA,     NA,     14.666
"eur_aaF", "Artur Avetisyan",        "Armenia ",       NA,     NA,     14.633, NA,     NA,     NA,     14.633
"eur_aaF", "Nikita Simonov",         "Azerbaijan ",    NA,     NA,     14.633, NA,     NA,     NA,     14.633
"eur_aaF", "Joona Reiman",           "Finland ",       NA,     NA,     NA,     14.500, NA,     NA,     14.500
"eur_aaF", "Tin Srbic",              "Croatia ",       NA,     NA,     NA,     NA,     NA,     14.333, 14.333
"eur_aaF", "Eamon Montgomery",       "Ireland ",       14.000, NA,     NA,     NA,     NA,     NA,     14.000
"eur_aaF", "Anze Hribar",            "Slovenia ",      13.933, NA,     NA,     NA,     NA,     NA,     13.933
"eur_aaF", "Gregor Rakovic",         "Slovenia ",      NA,     13.933, NA,     NA,     NA,     NA,     13.933
"eur_aaF", "Harutyun Merdinyan",     "Armenia ",       NA,     13.900, NA,     NA,     NA,     NA,     13.900
"eur_aaF", "Matvei Petrov",          "Albania ",       NA,     13.833, NA,     NA,     NA,     NA,     13.833
"eur_aaF", "Marko Sambolec",         "Croatia ",       NA,     13.766, NA,     NA,     NA,     NA,     13.766
"eur_aaF", "Dmitrijs Mickevics",     "Latvia ",        NA,     13.566, NA,     NA,     NA,     NA,     13.566
"eur_aaF", "Ivan Dejanovic",         "Serbia ",        NA,     NA,     NA,     NA,     NA,     13.500, 13.500
"eur_aaF", "Andrei Muntean",         "Romania ",       NA,     NA,     NA,     NA,     13.466, NA,     13.466
"eur_aaF", "Sokratis Pilakouris",    "Cyprus ",        NA,     NA,     13.333, NA,     NA,     NA,     13.333
"eur_aaF", "William Sundell",        "Sweden ",        NA,     13.033, NA,     NA,     NA,     NA,     13.033
"eur_aaF", "Luka Bojanc",            "Slovenia ",      NA,     NA,     12.900, NA,     NA,     NA,     12.900
"eur_aaF", "Mateo Zugec",            "Croatia ",       NA,     12.900, NA,     NA,     NA,     NA,     12.900
"eur_aaF", "Radomir Sliz",           "Czechia ",       NA,     12.866, NA,     NA,     NA,     NA,     12.866
"eur_aaF", "Christos Tsingelidis",   "Greece ",        NA,     NA,     12.866, NA,     NA,     NA,     12.866
"eur_aaF", "Ron Pyatov",             "Israel ",        NA,     NA,     NA,     NA,     12.733, NA,     12.733
"eur_aaF", "Pavel Titov",            "Finland ",       NA,     12.400, NA,     NA,     NA,     NA,     12.400
